index,address,subway_station,subway_station.1,subway_station.2,police,police.1,police.2,primary_school,primary_school.1,primary_school.2,university,university.1,university.2,library,library.1,library.2,night_club,night_club.1,night_club.2,shopping_mall,shopping_mall.1,shopping_mall.2,supermarket,supermarket.1,supermarket.2,bus_station,bus_station.1,bus_station.2,park,park.1,park.2,church,church.1,church.2,hospital,hospital.1,hospital.2,latitude,longitude,Transaction Date,Total Cost(NTD),Cost per Sqaure Meter,Building Completion Date,Transacted Floor,Total Floor,Total Area Transacted (Sqaure Meter),Bed Rooms,Living/Dining Rooms,Bathrooms,Main construction Method,Type of Building,transaction year,time delta,time delta year,500_label,1km_label,3km_label,500_price_label,1km_price_label,3km_price_label,house_no_price_label,house_price_label
3621,哈密街５９巷３８弄５０號十三樓,0.0,1.0,1.0,2.0,6.0,6.0,2.0,3.0,9.0,0.0,4.0,14.0,2.0,4.0,7.0,0.0,2.0,8.0,1.0,6.0,9.0,1.0,6.0,10.0,2.0,9.0,14.0,9.0,25.0,48.0,5.0,15.0,21.0,3.0,3.0,14.0,25.0749631,121.5143483,2020-05-19,16620000,106593,2019-11-05,13,13.0,155.92,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,196 days,0.0,2,0,2,1,1,1,0,1
3622,林森南路６９號十一樓,0.0,5.0,7.0,1.0,12.0,28.0,1.0,4.0,8.0,11.0,29.0,49.0,8.0,34.0,45.0,0.0,3.0,30.0,1.0,14.0,39.0,4.0,14.0,21.0,4.0,33.0,59.0,5.0,37.0,58.0,7.0,44.0,60.0,15.0,49.0,60.0,25.039528,121.5220233,2020-07-03,32320000,245313,2017-03-02,11,13.0,131.75,2,1,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,1219 days,3.0,0,1,3,0,0,0,2,0
3624,汀州路四段２７７號八樓,1.0,1.0,2.0,1.0,3.0,6.0,3.0,4.0,9.0,8.0,14.0,60.0,3.0,5.0,7.0,0.0,2.0,4.0,1.0,2.0,5.0,4.0,7.0,17.0,2.0,8.0,17.0,12.0,33.0,56.0,4.0,15.0,30.0,1.0,2.0,6.0,25.0039141,121.5354931,2020-07-04,25000000,138750,2010-11-04,8,14.0,180.18,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,3530 days,9.0,2,0,2,1,1,1,0,1
3625,興隆路二段２０３巷１０７號五樓,0.0,1.0,12.0,1.0,5.0,20.0,3.0,8.0,38.0,2.0,6.0,60.0,0.0,2.0,47.0,1.0,3.0,15.0,0.0,1.0,14.0,3.0,11.0,60.0,0.0,4.0,60.0,12.0,30.0,60.0,2.0,24.0,60.0,1.0,5.0,60.0,25.0031522,121.5465623,2020-06-21,28660000,114805,2013-01-03,5,11.0,249.64,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,2726 days,7.0,2,0,1,1,1,1,0,1
3626,忠孝東路四段２４８巷１號六樓,2.0,3.0,7.0,0.0,3.0,7.0,1.0,5.0,12.0,4.0,7.0,17.0,1.0,12.0,26.0,14.0,29.0,41.0,6.0,24.0,47.0,5.0,20.0,36.0,7.0,27.0,46.0,4.0,29.0,52.0,19.0,49.0,60.0,43.0,60.0,60.0,25.0407016,121.5542778,2020-06-09,31500000,232833,1984-09-04,6,7.0,135.29,3,2,2,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,13062 days,35.0,1,3,3,0,0,0,2,0
3627,建國南路一段１７５巷２３號九樓,0.0,4.0,6.0,0.0,6.0,10.0,0.0,6.0,12.0,4.0,17.0,27.0,2.0,15.0,23.0,1.0,20.0,31.0,4.0,32.0,41.0,4.0,22.0,30.0,8.0,25.0,52.0,10.0,36.0,60.0,12.0,42.0,60.0,3.0,60.0,60.0,25.0409248,121.5385165,2020-07-17,25180000,227956,1987-04-23,9,14.0,110.46,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,12139 days,33.0,0,3,3,0,0,0,2,0
3628,自強街４６巷１６號四樓,1.0,2.0,6.0,4.0,6.0,16.0,2.0,7.0,23.0,0.0,2.0,35.0,1.0,3.0,26.0,0.0,5.0,15.0,0.0,4.0,21.0,4.0,13.0,59.0,1.0,7.0,45.0,4.0,19.0,60.0,6.0,18.0,60.0,4.0,12.0,60.0,25.1098225,121.5139875,2020-05-20,12060000,117981,1972-07-21,4,4.0,102.22,3,2,1,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,17470 days,47.0,2,0,1,1,1,1,2,1
3629,懷德街６之８號五樓,1.0,1.0,2.0,0.0,2.0,2.0,3.0,6.0,7.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,8.0,1.0,2.0,3.0,6.0,15.0,22.0,3.0,5.0,10.0,5.0,25.0,38.0,2.0,8.0,13.0,5.0,9.0,15.0,25.0332252,121.4761161,2020-07-16,16750000,144596,1979-06-11,5,5.0,115.84,5,0,5,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,15011 days,41.0,2,0,2,1,1,1,2,1
3630,東華街二段１７４巷３６弄２號三樓,1.0,2.0,7.0,0.0,3.0,12.0,0.0,6.0,22.0,12.0,22.0,33.0,3.0,7.0,19.0,0.0,2.0,12.0,1.0,3.0,12.0,5.0,11.0,60.0,4.0,10.0,40.0,10.0,38.0,60.0,3.0,14.0,60.0,0.0,14.0,60.0,25.1206874,121.5101404,2020-06-20,17000000,135146,1984-09-21,3,5.0,125.79,4,2,2,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,13056 days,35.0,2,0,1,1,1,1,2,1
3631,中央北路四段３９８號三樓,1.0,2.0,4.0,0.0,2.0,4.0,0.0,3.0,7.0,9.0,18.0,38.0,1.0,2.0,12.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,6.0,17.0,2.0,3.0,9.0,1.0,7.0,48.0,2.0,9.0,22.0,4.0,4.0,20.0,25.129637,121.470974,2020-06-19,6850000,80607,1983-11-16,3,5.0,84.98,1,1,1,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,13365 days,36.0,2,0,2,1,1,1,2,1
