,latitude,longitude,police_500,police_1000,police_3000,hospital_500,hospital_1000,hospital_3000,shopping_mall_500,shopping_mall_1000,shopping_mall_3000,library_500,library_1000,library_3000,bus_station_500,bus_station_1000,bus_station_3000,university_500,university_1000,university_3000,primary_school_500,primary_school_1000,primary_school_3000,church_500,church_1000,church_3000,night_club_500,night_club_1000,night_club_3000,supermarket_500,supermarket_1000,supermarket_3000,subway_station_500,subway_station_1000,subway_station_3000,park_500,park_1000,park_3000
臺北市大同區大龍街300巷4號3樓,25.0715184,121.5155752,2,6,10,3,13,27.0,3,5,7.0,2,5,9,5,16.0,21.0,1,14,17.0,2,6,10,10,20.0,38.0,0,6,14,4,5,13.0,1,2,3,6,29,48
臺北市萬華區長沙街二段148號十七樓,25.0406311,121.5013198,3,13,16,22,40,48.0,1,25,28.0,3,11,17,1,30.0,35.0,5,10,17.0,2,4,10,8,13.0,23.0,7,27,28,5,19,22.0,0,2,3,9,26,60
臺北市萬華區青年路68巷18號5樓,25.0234088,121.5020864,2,4,9,1,11,14.0,0,0,3.0,2,6,11,2,5.0,14.0,0,1,4.0,5,9,13,7,25.0,33.0,0,3,6,4,19,25.0,0,0,0,8,28,60
臺北市萬華區興義街56號3樓,25.0259094,121.4907584,0,3,6,5,9,12.0,0,1,2.0,0,3,6,0,3.0,9.0,0,1,2.0,0,7,11,3,12.0,24.0,3,4,5,2,11,22.0,0,0,0,8,33,49
臺北市中正區重慶南路三段１５５號四樓,25.0228357,121.5170461,1,4,12,0,27,39.0,0,2,5.0,3,12,25,3,9.0,26.0,0,7,17.0,2,8,13,9,42.0,60.0,1,6,8,2,14,28.0,0,1,4,13,34,60
臺北市文山區仙岩路16巷30號6樓,24.9976121,121.5489796,2,7,22,2,20,60.0,0,0,11.0,0,4,38,0,10.0,60.0,3,16,60.0,5,7,34,9,26.0,60.0,0,3,12,4,10,60.0,0,2,12,7,30,60
臺北市文山區興隆路二段２７５巷１弄８號七樓,25.0029983,121.5525231,2,4,17,1,17,60.0,0,0,11.0,1,3,42,3,7.0,60.0,2,12,60.0,3,7,32,5,13.0,60.0,1,2,12,4,6,51.0,0,2,10,8,24,60
臺北市文山區福興路106巷28弄3號10樓,25.0061381,121.5501603,0,3,18,0,3,60.0,0,0,12.0,0,2,47,0,5.0,60.0,2,10,60.0,2,6,37,0,9.0,60.0,0,3,16,1,6,56.0,0,1,10,5,20,60
臺北市文山區景福街133巷28號,24.9958143,121.5367885,0,5,8,2,12,32.0,0,1,3.0,0,4,8,2,12.0,15.0,0,3,17.0,2,8,13,6,27.0,42.0,0,2,4,4,15,22.0,0,2,2,6,24,40
臺北市中正區水源路153號3樓,25.0237749,121.5158795,3,11,12,1,25,30.0,0,0,5.0,3,17,25,3,9.0,24.0,0,8,16.0,2,8,14,9,43.0,60.0,1,3,8,2,13,26.0,0,1,3,7,33,60
臺北市士林區華齡街63號2樓,25.0846383,121.5190544,2,3,16,1,9,60.0,1,11,26.0,1,3,26,0,9.0,55.0,1,10,33.0,1,2,21,6,12.0,60.0,2,7,25,5,8,45.0,0,1,7,6,28,60
臺北市文山區興隆路三段206巷10弄4號二樓,24.997635,121.558816,1,4,18,15,17,46.0,0,0,4.0,1,3,37,4,10.0,54.0,7,7,60.0,1,6,29,5,15.0,60.0,0,1,8,1,3,46.0,1,3,9,3,21,60
臺北市文山區久康街165號4樓,24.9907848,121.5682756,0,2,10,0,6,27.0,0,0,1.0,2,8,28,0,8.0,34.0,3,15,44.0,2,4,22,7,26.0,60.0,0,1,3,4,11,27.0,0,2,5,5,26,60
臺北市文山區辛亥路四段101巷93弄7號,25.006705,121.560424,0,2,18,0,17,60.0,0,0,9.0,1,2,40,1,10.0,58.0,0,8,60.0,1,4,29,3,8.0,60.0,0,0,14,0,2,51.0,1,2,9,4,22,60
