POI,importance coef 500,importance coef 1000,importance coef 3000
subway_station,9025.58965320382,6431.634361051873,1117.5338656045842
bus_station,2977.2852514136885,-3.076322429224831,-707.7305650446461
library,2963.6124733050137,260.5527604077859,1732.277284036136
church,2351.5780835605383,1274.9664258219323,1710.5298697590438
shopping_mall,1311.7466801809394,1311.5501158572843,1587.1662057525527
park,1107.903590600849,530.5978134220708,203.4215541961257
university,385.9810061952748,-16.38484029380234,-187.25573523988425
hospital,158.84325885355776,722.9969086331439,267.20102259445923
night_club,65.34174387982799,-1242.3738996297227,-630.2410135238947
supermarket,-637.4329425211099,63.6804130691641,-8.056132297332624
police,-2248.0193590875165,-1579.415744957887,-1708.2048804704214
primary_school,-2651.5161691512235,-1932.726406223147,-2589.4743193695867
