,subway_station_500m,subway_station_1000m,subway_station_3000m,police_500m,police_1000m,police_3000m,primary_school_500m,primary_school_1000m,primary_school_3000m,university_500m,university_1000m,university_3000m,library_500m,library_1000m,library_3000m,night_club_500m,night_club_1000m,night_club_3000m,shopping_mall_500m,shopping_mall_1000m,shopping_mall_3000m,supermarket_500m,supermarket_1000m,supermarket_3000m,bus_station_500m,bus_station_1000m,bus_station_3000m,park_500m,park_1000m,park_3000m,church_500m,church_1000m,church_3000m,hospital_500m,hospital_1000m,hospital_3000m,Transaction Date,Total Cost(NTD),Cost per Sqaure Meter,Building Completion Date,Transacted Floor,Total Floor,Total Area Transacted (Sqaure Meter),Bed Rooms,Living/Dining Rooms,Bathrooms,Main construction Method,Type of Building,transaction year,time delta,time delta year,500_label,1km_label,3km_label,500_price_label,1km_price_label,3km_price_label,house_no_price_label,house_price_label,latitude,longitude,geometry,TOWNCODE,TOWNNAME,VILLNAME,VILLENG,TOWNNAME_EN,COUNTYNAME,TTL_INCOME,AVG,MEDIAN,QUANTILE1,QUANTILE3,STD,VAR,edu_age_15up_total,edu_doctor,edu_master,edu_undergrad,edu_cc,edu_senior,edu_junior,edu_primary
717,1.0,2.0,6.0,3.0,7.0,12.0,2.0,6.0,21.0,5.0,24.0,35.0,5.0,10.0,27.0,3.0,4.0,11.0,1.0,2.0,13.0,3.0,17.0,58.0,6.0,9.0,43.0,5.0,20.0,60.0,7.0,22.0,60.0,39.0,60.0,60.0,2020-04-04,12800000,128630,1980-04-08,5,5.0,99.51,3,2,1,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,14606 days,39.0,1,2,1,1,1,1,2,1,25.1163087,121.5181811,POINT (121.5181811 25.1163087),63000120.0,北投區,振華里,Zhenhua Vil.,,臺北市,2537833.0,983.0,582.0,241,1259,1205.07,122.6,6483.0,71.0,652.0,2015.0,824.0,1170.0,294.0,438.0
718,1.0,2.0,5.0,0.0,1.0,15.0,2.0,6.0,22.0,1.0,2.0,52.0,0.0,3.0,31.0,1.0,2.0,16.0,2.0,4.0,23.0,5.0,10.0,59.0,10.0,19.0,41.0,7.0,35.0,60.0,8.0,33.0,60.0,1.0,56.0,60.0,2020-03-27,14800000,234958,1971-08-19,2,2.0,62.99,2,2,1,Reinforced Brick,Apartment (Below 5F without Elevator),2020,17753 days,48.0,2,2,1,0,0,0,2,0,25.1016726,121.5269091,POINT (121.5269091 25.1016726),63000110.0,士林區,名山里,Mingshan Vil.,,臺北市,2736400.0,1080.0,586.0,261,1357,1440.41,133.33,6123.0,77.0,637.0,2061.0,752.0,1049.0,253.0,343.0
719,0.0,1.0,5.0,0.0,1.0,15.0,1.0,5.0,22.0,1.0,2.0,55.0,0.0,4.0,30.0,1.0,2.0,15.0,2.0,4.0,22.0,5.0,13.0,57.0,7.0,17.0,39.0,11.0,34.0,60.0,5.0,33.0,60.0,1.0,36.0,60.0,2020-04-19,18000000,148075,1980-07-03,2,5.0,121.56,3,2,2,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,14535 days,39.0,2,2,1,3,3,3,2,1,25.102662,121.5276763,POINT (121.5276763 25.102662),63000110.0,士林區,名山里,Mingshan Vil.,,臺北市,2736400.0,1080.0,586.0,261,1357,1440.41,133.33,6123.0,77.0,637.0,2061.0,752.0,1049.0,253.0,343.0
720,1.0,2.0,5.0,0.0,1.0,16.0,1.0,6.0,22.0,1.0,2.0,54.0,0.0,3.0,31.0,1.0,2.0,16.0,2.0,4.0,23.0,5.0,10.0,59.0,10.0,17.0,41.0,8.0,34.0,60.0,7.0,34.0,60.0,1.0,56.0,60.0,2020-03-15,18800000,140603,1980-07-03,2,5.0,133.71,3,2,2,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,14500 days,39.0,2,2,1,1,1,1,2,1,25.1020457,121.5270229,POINT (121.5270229 25.1020457),63000110.0,士林區,名山里,Mingshan Vil.,,臺北市,2736400.0,1080.0,586.0,261,1357,1440.41,133.33,6123.0,77.0,637.0,2061.0,752.0,1049.0,253.0,343.0
721,0.0,2.0,5.0,0.0,2.0,14.0,2.0,6.0,23.0,1.0,1.0,48.0,0.0,3.0,32.0,1.0,2.0,15.0,0.0,4.0,23.0,3.0,11.0,52.0,5.0,19.0,39.0,11.0,36.0,60.0,7.0,31.0,60.0,2.0,35.0,60.0,2020-04-01,23000000,168264,1982-07-19,2,5.0,136.69,3,2,2,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,13771 days,37.0,2,2,1,3,3,3,0,1,25.1015731,121.5287926,POINT (121.5287926 25.1015731),63000110.0,士林區,名山里,Mingshan Vil.,,臺北市,2736400.0,1080.0,586.0,261,1357,1440.41,133.33,6123.0,77.0,637.0,2061.0,752.0,1049.0,253.0,343.0
722,0.0,2.0,5.0,0.0,2.0,14.0,2.0,5.0,23.0,0.0,1.0,50.0,0.0,3.0,32.0,0.0,2.0,15.0,0.0,3.0,23.0,3.0,11.0,52.0,2.0,18.0,38.0,10.0,33.0,60.0,5.0,31.0,60.0,29.0,35.0,60.0,2020-05-12,14750000,120290,1981-05-15,2,5.0,122.62,4,2,2,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,14242 days,38.0,1,2,1,1,1,1,2,1,25.1012923,121.5300398,POINT (121.5300398 25.1012923),63000110.0,士林區,名山里,Mingshan Vil.,,臺北市,2736400.0,1080.0,586.0,261,1357,1440.41,133.33,6123.0,77.0,637.0,2061.0,752.0,1049.0,253.0,343.0
723,0.0,1.0,5.0,1.0,1.0,15.0,1.0,7.0,22.0,1.0,2.0,55.0,0.0,3.0,31.0,1.0,2.0,13.0,2.0,6.0,21.0,6.0,16.0,54.0,4.0,12.0,39.0,9.0,29.0,60.0,5.0,27.0,60.0,29.0,35.0,60.0,2020-05-17,35580000,182144,1989-12-26,10,12.0,195.34,4,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,11100 days,30.0,1,2,1,3,3,3,0,0,25.1052532,121.5289328,POINT (121.5289328 25.1052532),63000110.0,士林區,名山里,Mingshan Vil.,,臺北市,2736400.0,1080.0,586.0,261,1357,1440.41,133.33,6123.0,77.0,637.0,2061.0,752.0,1049.0,253.0,343.0
724,0.0,1.0,5.0,0.0,2.0,15.0,2.0,6.0,23.0,1.0,1.0,50.0,0.0,4.0,32.0,1.0,2.0,15.0,0.0,4.0,21.0,3.0,12.0,54.0,4.0,17.0,39.0,12.0,35.0,60.0,5.0,33.0,60.0,28.0,35.0,60.0,2020-07-07,14000000,165798,1977-12-07,3,4.0,84.44,3,2,1,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,15553 days,42.0,1,2,1,3,3,3,2,1,25.1023583,121.5292026,POINT (121.5292026 25.1023583),63000110.0,士林區,名山里,Mingshan Vil.,,臺北市,2736400.0,1080.0,586.0,261,1357,1440.41,133.33,6123.0,77.0,637.0,2061.0,752.0,1049.0,253.0,343.0
725,0.0,2.0,5.0,0.0,2.0,14.0,2.0,6.0,23.0,1.0,1.0,48.0,0.0,3.0,32.0,1.0,2.0,15.0,0.0,4.0,23.0,3.0,11.0,52.0,5.0,19.0,39.0,11.0,36.0,60.0,7.0,31.0,60.0,2.0,35.0,60.0,2020-06-24,19300000,145309,1982-07-19,3,5.0,132.82,3,2,2,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,13855 days,37.0,2,2,1,1,1,1,2,1,25.1015731,121.5287926,POINT (121.5287926 25.1015731),63000110.0,士林區,名山里,Mingshan Vil.,,臺北市,2736400.0,1080.0,586.0,261,1357,1440.41,133.33,6123.0,77.0,637.0,2061.0,752.0,1049.0,253.0,343.0
726,0.0,1.0,6.0,0.0,1.0,7.0,0.0,3.0,17.0,1.0,1.0,32.0,1.0,1.0,15.0,0.0,2.0,10.0,0.0,0.0,3.0,0.0,4.0,33.0,1.0,1.0,28.0,10.0,29.0,60.0,4.0,14.0,39.0,8.0,14.0,60.0,2020-04-26,3700000,79094,1981-12-31,5,8.0,46.78,1,1,1,Reinforced Concrete,Studio,2020,13996 days,38.0,2,0,2,1,1,1,2,1,25.1372079,121.5104059,POINT (121.5104059 25.1372079),63000120.0,北投區,林泉里,Linquan Vil.,,臺北市,709151.0,736.0,467.0,237,969,894.85,121.64,2739.0,19.0,214.0,701.0,357.0,587.0,182.0,175.0
